P002,apartment,Bengaluru,8500000
P003,villa,Mumbai,15000000
P004,plot,Pune,3000000
P005,apartment,Chennai,7000000
P006,villa,Hyderabad,12000000
P007,plot,New Delhi,9000000
P008,apartment,Kolkata,6000000
P009,villa,Ahmedabad,8000000
P010,plot,Jaipur,2500000
P011,apartment,Indore,5000000
P012,villa,Lucknow,7500000
P013,plot,Patna,2800000
P014,apartment,Surat,5500000
P015,villa,Bhopal,7200000
P016,plot,Thiruvananthapuram,2600000
P017,apartment,Chandigarh,6500000
P018,villa,Bhubaneswar,9000000
P019,plot,Visakhapatnam,3000000
P020,apartment,Coimbatore,5200000
P023,Building,Baramati,234567
PO30,School,Baramati,1200000
